movie_title,actor_id,actor_name
Big Hero 6,52792,Maya Rudolph
Wreck-It Ralph,4764,John C. Reilly
Wreck-It Ralph,43775,Jane Lynch
Wreck-It Ralph,21088,Alan Tudyk
The Polar Express,31,Tom Hanks
Independence Day: Resurgence,4785,Jeff Goldblum
Independence Day: Resurgence,8984,Bill Pullman
Independence Day: Resurgence,886,William Fichtner
Independence Day: Resurgence,2535,Vivica A. Fox
How to Train Your Dragon,17276,Gerard Butler
How to Train Your Dragon,21007,Jonah Hill
How to Train Your Dragon,41091,Kristen Wiig
Terminator 3: Rise of the Machines,1100,Arnold Schwarzenegger
Guardians of the Galaxy,8691,Zoe Saldana
Guardians of the Galaxy,12835,Vin Diesel
Guardians of the Galaxy,51329,Bradley Cooper
Guardians of the Galaxy,12132,Michael Rooker
Guardians of the Galaxy,938,Djimon Hounsou
Guardians of the Galaxy,4764,John C. Reilly
Guardians of the Galaxy,1121,Benicio del Toro
Guardians of the Galaxy,16851,Josh Brolin
Interstellar,10297,Matthew McConaughey
Interstellar,1813,Anne Hathaway
Interstellar,3895,Michael Caine
Interstellar,1893,Casey Affleck
Interstellar,1892,Matt Damon
Interstellar,12074,John Lithgow
Inception,6193,Leonardo DiCaprio
Inception,24045,Joseph Gordon-Levitt
Inception,2037,Cillian Murphy
Inception,3895,Michael Caine
Inception,4935,Pete Postlethwaite
The Hobbit: An Unexpected Journey,1327,Ian McKellen
The Hobbit: An Unexpected Journey,1333,Andy Serkis
The Hobbit: An Unexpected Journey,112,Cate Blanchett
The Hobbit: An Unexpected Journey,113,Christopher Lee
The Hobbit: An Unexpected Journey,65,Ian Holm
The Hobbit: An Unexpected Journey,109,Elijah Wood
The Hobbit: An Unexpected Journey,1331,Hugo Weaving
The Fast and the Furious,8167,Paul Walker
The Fast and the Furious,12835,Vin Diesel
The Fast and the Furious,15854,Ted Levine
The Curious Case of Benjamin Button,112,Cate Blanchett
The Curious Case of Benjamin Button,287,Brad Pitt
The Curious Case of Benjamin Button,3063,Tilda Swinton
The Curious Case of Benjamin Button,973,Jason Flemyng
The Curious Case of Benjamin Button,13550,Elias Koteas
X-Men: First Class,17288,Michael Fassbender
X-Men: First Class,4724,Kevin Bacon
X-Men: First Class,9827,Rose Byrne
X-Men: First Class,973,Jason Flemyng
X-Men: First Class,17485,Oliver Platt
X-Men: First Class,1118,Rade Serbedzija
The Hunger Games: Mockingjay - Part 2,57755,Woody Harrelson
The Hunger Games: Mockingjay - Part 2,9281,Elizabeth Banks
The Hunger Games: Mockingjay - Part 2,1231,Julianne Moore
The Hunger Games: Mockingjay - Part 2,1233,Philip Seymour Hoffman
The Hunger Games: Mockingjay - Part 2,2954,Jeffrey Wright
The Hunger Games: Mockingjay - Part 2,2283,Stanley Tucci
The Hunger Games: Mockingjay - Part 2,55636,Donald Sutherland
The Hunger Games: Mockingjay - Part 2,20089,Jena Malone
The Sorcerer's Apprentice,2963,Nicolas Cage
The Sorcerer's Apprentice,658,Alfred Molina
The Sorcerer's Apprentice,20286,Toby Kebbell
Poseidon,6856,Kurt Russell
Poseidon,6164,Josh Lucas
Alice Through the Looking Glass,85,Johnny Depp
Alice Through the Looking Glass,1813,Anne Hathaway
Alice Through the Looking Glass,1283,Helena Bonham Carter
Alice Through the Looking Glass,4566,Alan Rickman
Alice Through the Looking Glass,3968,Michael Sheen
Alice Through the Looking Glass,13014,Toby Jones
Alice Through the Looking Glass,9191,Timothy Spall
Shrek the Third,776,Eddie Murphy
Shrek the Third,6941,Cameron Diaz
Shrek the Third,3131,Antonio Banderas
Shrek the Third,8930,John Cleese
Shrek the Third,17697,John Krasinski
Shrek the Third,52792,Maya Rudolph
Shrek the Third,56322,Amy Poehler
Shrek the Third,19274,Seth Rogen
Warcraft,11107,Ben Foster
Warcraft,20286,Toby Kebbell
Terminator Genisys,1100,Arnold Schwarzenegger
Terminator Genisys,18999,J.K. Simmons
The Chronicles of Narnia: The Voyage of the Dawn Treader,11108,Simon Pegg
The Chronicles of Narnia: The Voyage of the Dawn Treader,3063,Tilda Swinton
The Chronicles of Narnia: The Voyage of the Dawn Treader,3896,Liam Neeson
Pearl Harbor,880,Ben Affleck
Pearl Harbor,2299,Josh Hartnett
Pearl Harbor,3967,Kate Beckinsale
Pearl Harbor,9777,Cuba Gooding Jr.
Pearl Harbor,10127,Jon Voight
Pearl Harbor,7447,Alec Baldwin
Pearl Harbor,9278,Jennifer Garner
Pearl Harbor,335,Michael Shannon
Pearl Harbor,707,Dan Aykroyd
Pearl Harbor,10132,Colm Feore
Pearl Harbor,11398,Cary-Hiroyuki Tagawa
Transformers,10959,Shia LaBeouf
Transformers,10127,Jon Voight
Transformers,1241,John Turturro
Transformers,18471,Anthony Anderson
Transformers,1331,Hugo Weaving
Transformers,1897,Bernie Mac
Alexander,72466,Colin Farrell
Alexander,11701,Angelina Jolie
Alexander,5576,Val Kilmer
Alexander,4173,Anthony Hopkins
Alexander,290,Christopher Plummer
Alexander,5916,Rosario Dawson
Alexander,20286,Toby Kebbell
Harry Potter and the Order of the Phoenix,5658,Michael Gambon
Harry Potter and the Order of the Phoenix,5469,Ralph Fiennes
Harry Potter and the Order of the Phoenix,1923,Robbie Coltrane
Harry Potter and the Order of the Phoenix,4566,Alan Rickman
Harry Potter and the Order of the Phoenix,10978,Maggie Smith
Harry Potter and the Order of the Phoenix,1283,Helena Bonham Carter
Harry Potter and the Order of the Phoenix,2039,Brendan Gleeson
Harry Potter and the Order of the Phoenix,64,Gary Oldman
Harry Potter and the Order of the Phoenix,11355,Jason Isaacs
Harry Potter and the Order of the Phoenix,11356,Imelda Staunton
Harry Potter and the Goblet of Fire,5469,Ralph Fiennes
Harry Potter and the Goblet of Fire,5658,Michael Gambon
Harry Potter and the Goblet of Fire,4566,Alan Rickman
Harry Potter and the Goblet of Fire,1923,Robbie Coltrane
Harry Potter and the Goblet of Fire,2039,Brendan Gleeson
Harry Potter and the Goblet of Fire,64,Gary Oldman
Harry Potter and the Goblet of Fire,10978,Maggie Smith
Harry Potter and the Goblet of Fire,11355,Jason Isaacs
Hancock,2888,Will Smith
Hancock,6885,Charlize Theron
Hancock,23532,Jason Bateman
Hancock,1665,Eddie Marsan
Hancock,539,Thomas Lennon
I Am Legend,2888,Will Smith
I Am Legend,7056,Emma Thompson
Charlie and the Chocolate Factory,85,Johnny Depp
Charlie and the Chocolate Factory,1283,Helena Bonham Carter
Charlie and the Chocolate Factory,1294,Missi Pyle
Charlie and the Chocolate Factory,113,Christopher Lee
Ratatouille,65,Ian Holm
Ratatouille,21200,Will Arnett
Ratatouille,1736,James Remar
Batman Begins,3894,Christian Bale
Batman Begins,3895,Michael Caine
Batman Begins,3896,Liam Neeson
Batman Begins,3897,Katie Holmes
Batman Begins,64,Gary Oldman
Batman Begins,2037,Cillian Murphy
Batman Begins,207,Tom Wilkinson
Batman Begins,192,Morgan Freeman
Batman Begins,534,Mark Boone Junior
Batman Begins,1118,Rade Serbedzija
Madagascar: Escape 2 Africa,7399,Ben Stiller
Madagascar: Escape 2 Africa,9575,Jada Pinkett Smith
Madagascar: Escape 2 Africa,2632,Chris Rock
Madagascar: Escape 2 Africa,5726,Cedric the Entertainer
Madagascar: Escape 2 Africa,1897,Bernie Mac
Madagascar: Escape 2 Africa,7447,Alec Baldwin
Night at the Museum: Battle of the Smithsonian,7399,Ben Stiller
Night at the Museum: Battle of the Smithsonian,9273,Amy Adams
Night at the Museum: Battle of the Smithsonian,887,Owen Wilson
Night at the Museum: Battle of the Smithsonian,5587,Hank Azaria
Night at the Museum: Battle of the Smithsonian,2157,Robin Williams
Night at the Museum: Battle of the Smithsonian,4581,Steve Coogan
Night at the Museum: Battle of the Smithsonian,19278,Bill Hader
X-Men Origins: Wolverine,6968,Hugh Jackman
X-Men Origins: Wolverine,23626,Liev Schreiber
X-Men Origins: Wolverine,6413,Danny Huston
X-Men Origins: Wolverine,10859,Ryan Reynolds
The Matrix Revolutions,6384,Keanu Reeves
The Matrix Revolutions,2975,Laurence Fishburne
The Matrix Revolutions,1331,Hugo Weaving
The Matrix Revolutions,9575,Jada Pinkett Smith
Frozen,21088,Alan Tudyk
Frozen,8785,Ciarán Hinds
The Matrix Reloaded,6384,Keanu Reeves
The Matrix Reloaded,2975,Laurence Fishburne
The Matrix Reloaded,1331,Hugo Weaving
Thor: The Dark World,74568,Chris Hemsworth
Thor: The Dark World,524,Natalie Portman
Thor: The Dark World,4173,Anthony Hopkins
Thor: The Dark World,17605,Idris Elba
Thor: The Dark World,1640,Stellan Skarsgård
Mad Max: Fury Road,6885,Charlize Theron
Angels & Demons,31,Tom Hanks
Angels & Demons,3061,Ewan McGregor
